crop_code;unit_cd;mean_cf_nat;mean_cf1;mean_cf2;mean_cf3;mean_cf4;mean_cf6;mean_cf7;mean_cf12;mean_cf99;note
1;1;1;1;1;1;1;1;1;1;1;
1;2;100;100;100;100;100;100;100;100;100;
1;4;20.8500003814697;20.8500003814697;20.8500003814697;20.8500003814697;20.8500003814697;20.8500003814697;20.8500003814697;20.8500003814697;20.8500003814697;
1;7;8.06799983978271;7.57499980926514;7.61999988555908;8.43000030517578;8.94499969482422;8.06799983978271;8.06799983978271;8.06799983978271;6.82000017166138;
1;9;36.7550010681152;41.5;49.75;58;49.75;49.75;49.75;49.75;49.75;
1;11;0.508000016212463;0.51800000667572;0.490000009536743;0.508000016212463;0.508000016212463;0.508000016212463;0.508000016212463;0.508000016212463;0.508000016212463;
1;12;0.479999989271164;0.479999989271164;0.479999989271164;0.479999989271164;0.479999989271164;0.479999989271164;0.479999989271164;0.479999989271164;0.479999989271164;
1;104;0.830999970436096;0.754999995231628;0.830999970436096;0.819999992847443;0.889999985694885;0.830999970436096;0.813000023365021;0.830999970436096;0.829999983310699;
1;109;0.194999992847443;0.194999992847443;0.194999992847443;0.194999992847443;0.209999993443489;0.194999992847443;0.189999997615814;0.194999992847443;0.194999992847443;
1;115;57.4879989624023;49.5;53.6669998168945;56.7099990844727;64.8000030517578;57.4879989624023;61.5279998779297;57.4879989624023;57.4879989624023;
1;117;0.291999995708466;0.330000013113022;0.254999995231628;0.254999995231628;0.291999995708466;0.291999995708466;0.277999997138977;0.291999995708466;0.291999995708466;
1;119;57.4879989624023;49.5;53.6669998168945;56.7099990844727;64.8000030517578;57.4879989624023;61.5279998779297;57.4879989624023;57.4879989624023;
1;121;1.11199998855591;1.11199998855591;1.11199998855591;1.11199998855591;1.11199998855591;1.11199998855591;1.11199998855591;1.11199998855591;1.11199998855591;Used jog ratio for teff to estimate container CF
1;122;0.0640000030398369;0.0719999969005585;0.0719999969005585;0.0719999969005585;0.0719999969005585;0.0719999969005585;0.0719999969005585;0.0719999969005585;0.0719999969005585;Used jog ratio for teff to estimate container CF
1;123;0.649999976158142;0.564999997615814;0.649999976158142;0.652999997138977;0.632000029087067;0.574999988079071;0.667999982833862;0.649999976158142;0.680000007152557;
2;1;1;1;1;1;1;1;1;1;1;
2;2;100;100;100;100;100;100;100;100;100;
2;4;21.0699996948242;21.0699996948242;21.0699996948242;21;21.0699996948242;21.0699996948242;21.1399993896484;21.0699996948242;21.0699996948242;
2;5;0.340000003576279;0.340000003576279;0.340000003576279;0.340000003576279;0.340000003576279;0.340000003576279;0.340000003576279;0.340000003576279;0.340000003576279;
2;7;10.6169996261597;9.17700004577637;9.04500007629395;10.9040002822876;11.8369998931885;10.6169996261597;10.6169996261597;10.6169996261597;10.6169996261597;
2;9;36.7550010681152;51.5;50.3330001831055;48;50.3330001831055;50.3330001831055;50.3330001831055;50.3330001831055;50.3330001831055;
2;11;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;
2;12;0.217999994754791;0.217999994754791;0.217999994754791;0.217999994754791;0.209999993443489;0.217999994754791;0.224999994039536;0.217999994754791;0.217999994754791;
2;104;0.987999975681305;0.910000026226044;0.987999975681305;1;0.998000025749207;0.987999975681305;1.00999999046326;0.987999975681305;0.970000028610229;
2;109;0.217999994754791;0.217999994754791;0.217999994754791;0.217999994754791;0.217999994754791;0.217999994754791;0.217999994754791;0.217999994754791;0.217999994754791;
2;115;70.3460006713867;57.75;60.8330001831055;58.8569984436035;72.5;70;82.2310028076172;75.25;70.3460006713867;
2;117;0.34400001168251;0.370000004768372;0.34400001168251;0.310000002384186;0.400000005960464;0.34400001168251;0.324000000953674;0.34400001168251;0.34400001168251;
2;119;70.3460006713867;57.75;60.8330001831055;58.8569984436035;72.5;70;82.2310028076172;75.25;70.3460006713867;
2;121;1.42900002002716;1.42900002002716;1.3400000333786;1.43599998950958;1.42900002002716;1.42900002002716;1.43799996376038;1.42900002002716;1.42900002002716;
2;122;0.0640000030398369;0.0860000029206276;0.0860000029206276;0.0860000029206276;0.0860000029206276;0.0860000029206276;0.0860000029206276;0.0860000029206276;0.0860000029206276;Used jog ratio for teff to estimate container CF
2;123;0.790000021457672;0.720000028610229;0.790000021457672;0.735000014305115;0.787999987602234;0.790000021457672;0.791999995708466;0.790000021457672;0.899999976158142;
3;1;1;1;1;1;1;1;1;1;1;
3;2;100;100;100;100;100;100;100;100;100;
3;7;7.46000003814697;7.59499979019165;6.21999979019165;8.43000030517578;7.46000003814697;7.46000003814697;7.46000003814697;7.46000003814697;7.46000003814697;
3;9;36.7550010681152;47.3819999694824;47.3819999694824;47.3819999694824;47.3819999694824;47.3819999694824;47.3819999694824;47.3819999694824;47.3819999694824;Used jog ratio for teff to estimate container CF
3;11;0.617999970912933;0.660000026226044;0.535000026226044;0.617999970912933;0.617999970912933;0.617999970912933;0.617999970912933;0.617999970912933;0.617999970912933;
3;12;0.208000004291534;0.208000004291534;0.208000004291534;0.208000004291534;0.208000004291534;0.208000004291534;0.208000004291534;0.208000004291534;0.208000004291534;Used jog ratio for teff to estimate container CF
3;104;0.967000007629395;0.954999983310699;0.967000007629395;0.967000007629395;0.875;0.967000007629395;0.889999985694885;0.967000007629395;1.14999997615814;
3;109;0.185000002384186;0.185000002384186;0.185000002384186;0.185000002384186;0.185000002384186;0.185000002384186;0.185000002384186;0.185000002384186;0.185000002384186;
